,locID,lat,lon,data
1920,1129391,36.85,-77.54,121389.26350162335
1921,1087269,38.17,-79.02,120795.68687605049
1922,1133680,36.93,-77.38,121709.64932033874
1923,1047088,36.57,-80.78,117175.37500104723
1924,1141926,38.17,-77.14,117575.13764560987
1925,1179921,36.57,-75.98,120461.62651718325
1926,1117528,38.37,-77.9,118737.316568155
1927,1117788,37.05,-77.9,121747.32194075752
1928,1130796,37.57,-77.5,119781.60740021885
1929,1158758,37.41,-76.62,120348.07004732435
1930,1131520,39.05,-77.46,113730.24003030088
1931,1076428,37.21,-79.5,122995.05366747823
1932,1107673,39.33,-78.26,113195.99985458491
1933,1105636,38.41,-78.34,116228.58982819215
1934,1116401,37.05,-77.94,121941.36233571361
1935,1142879,37.29,-77.1,119538.52411581067
1936,1144391,38.37,-77.06,116981.03797363954
1937,993914,36.65,-83.26,117805.90636272237
1938,1083093,38.41,-79.22,116893.5440896042
1939,1098052,37.85,-78.62,120172.97055671406
1940,1043951,36.73,-80.9,120711.27147614822
1941,1076036,37.61,-79.5,120488.86995720844
1942,1057938,36.93,-80.3,121878.23797220456
1943,1072953,38.05,-79.66,115650.77946291461
1944,1090472,37.25,-78.9,124033.84781185804
1945,1102882,36.57,-78.42,122659.48417098248
1946,1091712,36.77,-78.86,123692.92229024379
1947,1147346,36.65,-76.98,123500.30434637211
1948,1018723,37.37,-82.06,114080.05603066854
1949,1110733,37.13,-78.14,122375.07340791961
1950,1111055,37.61,-78.14,120483.92758255427
1951,1074966,38.53,-79.58,115089.30717643612
1952,1126645,38.29,-77.62,118381.04901292395
1953,1182669,36.73,-75.9,120113.70861705863
1954,1086174,37.69,-79.1,121034.6480353348
1955,1134865,38.89,-77.34,115046.52494794087
1956,1152115,37.41,-76.82,120303.0839313149
1957,1177704,37.65,-76.06,121754.62285502948
1958,1066524,36.73,-79.9,121496.16825107577
1959,1111218,37.21,-78.14,122075.20697489491
1960,1102120,37.97,-78.46,118958.71150981435
1961,1092069,36.89,-78.86,124289.74452133967
1962,1063780,37.29,-80.02,119506.42581583459
1963,1132872,38.45,-77.42,116862.45023471948
1964,1021683,37.37,-81.94,113665.17727287684
1965,1120159,37.01,-77.82,122430.35431363528
1966,1136454,37.89,-77.3,120123.67083830752
1967,1106439,37.53,-78.3,121160.89071888154
1968,1018211,37.09,-82.1,114797.46904349148
1969,1138992,38.97,-77.22,114961.3472831223
1970,1031461,37.17,-81.46,115150.38034026144
1971,1130746,36.97,-77.5,121572.71412302933
1972,1109756,36.65,-78.18,124248.98358138616
1973,1072004,36.97,-79.7,122858.51908995747
1974,1177385,37.81,-76.06,120686.13869071341
1975,1081690,37.53,-79.26,121460.71519616153
1976,1102665,37.29,-78.42,121675.93447576136
1977,1127104,39.25,-77.58,114352.22329017213
1978,1148849,37.25,-76.9,119644.8375479018
1979,1066533,36.77,-79.9,121974.05503428956
1980,1068044,38.01,-79.86,116204.4206070866
1981,1075930,38.13,-79.54,117613.22937438407
1982,1142350,38.85,-77.14,115490.33786729739
1983,1129527,38.37,-77.54,118075.09819682145
1984,1148011,37.81,-76.94,120916.04251050181
1985,1073252,38.21,-79.62,116447.39244402872
1986,1109006,38.25,-78.18,119533.89077338208
1987,1177366,36.77,-76.06,121162.42632343751
1988,1062066,37.73,-80.1,115870.02717684602
1989,1066499,37.25,-79.94,118507.52382837296
1990,1123670,36.89,-77.7,121974.68519974835
1991,1081060,37.73,-79.3,120773.8964744776
1992,1077800,37.09,-79.42,122757.41946232098
1993,1010372,36.65,-82.46,119913.40597157454
1994,1168547,37.21,-76.3,120720.08453769839
1995,1034752,37.13,-81.3,115504.18342277221
1996,1182181,37.61,-75.9,121206.31447523156
1997,1110259,37.93,-78.14,119863.67679751129
1998,1037941,36.69,-81.18,119832.04817049757
1999,1122129,39.25,-77.74,115124.31090360548
2000,1098025,36.93,-78.62,122955.39433448373
2001,1060581,37.01,-80.18,122409.0057851398
2002,1168195,37.85,-76.34,120124.98304683919
2003,1122006,37.65,-77.74,120431.52916529201
2004,1091413,37.77,-78.86,120616.82177895405
2005,1085804,37.81,-79.1,119286.91460208365
2006,1075987,37.49,-79.5,120536.4386570301
2007,1130871,38.17,-77.46,118106.19329000148
2008,1182233,37.37,-75.9,123086.45485577814
2009,1113623,38.25,-78.02,118920.07051070785
2010,1149612,36.81,-76.9,122499.95764278981
2011,1115667,37.69,-77.98,120585.9948626931
2012,1101639,36.73,-78.46,124298.201295277
2013,1110090,37.49,-78.18,120409.81090012829
2014,1128931,38.05,-77.54,119635.67249665067
2015,1121625,37.89,-77.78,120156.86482585133
2016,1113784,37.37,-78.02,121859.74864955469
2017,1046151,37.01,-80.82,118690.31582926887
2018,1083378,38.17,-79.18,121995.75228593356
2019,1019832,36.65,-82.02,120237.53644071516
2020,1094795,37.29,-78.74,122927.54319534029
2021,1122792,37.25,-77.74,121488.86866913912
2022,1035229,36.73,-81.3,118676.2913290312
2023,1074944,37.01,-79.58,122539.66574833763
2024,1108406,36.61,-78.22,124662.45768721125
2025,1113726,37.61,-78.02,120437.5343199456
2026,1012312,36.73,-82.38,120155.3407585131
2027,1110188,39.13,-78.14,113706.37623014809
2028,1085735,36.69,-79.1,123726.82293685903
2029,1119356,36.81,-77.86,123216.6695052828
2030,1090596,38.49,-78.9,117481.94128345679
2031,1108285,38.37,-78.22,118639.66126848891
2032,1083548,37.17,-79.18,123450.58581918941
2033,1058926,37.41,-80.26,116409.73770139937
2034,1086960,37.97,-79.06,119999.12029706426
2035,1082377,37.37,-79.22,121862.56494686913
2036,1016481,37.21,-82.18,115443.90207937859
2037,1050547,36.65,-80.62,118736.25243039803
2038,1111988,37.85,-78.1,119447.65298403276
2039,1172594,37.73,-76.18,120878.93555310325
2040,1082394,37.17,-79.22,123144.18906126324
2041,1121214,36.69,-77.78,122706.32945024519
2042,1183516,37.17,-75.86,121660.19067721067
2043,1125533,37.49,-77.66,120300.23532893148
2044,1075653,37.13,-79.54,123610.85421985925
2045,1070538,36.65,-79.74,123476.62903395787
2046,1104304,38.61,-78.38,116447.00846866488
2047,1058709,36.97,-80.26,121585.90546505056
2048,1089519,36.81,-78.94,122952.24318235986
2049,1075712,37.37,-79.54,121528.9731696864
2050,1057493,36.73,-80.3,120826.84587382857
2051,1073838,37.37,-79.62,121435.05565702118
2052,1147100,37.93,-76.98,118624.87892486979
2053,1086157,38.45,-79.1,116671.06571365005
2054,1094828,37.49,-78.74,121644.68324833208
2055,1175140,37.69,-76.14,121036.3728863648
2056,1067286,36.65,-79.9,122771.19849077145
2057,1155669,36.93,-76.7,122350.82143347732
2058,1158328,37.25,-76.62,121193.87072239407
2059,1097967,38.41,-78.62,118362.86526524092
2060,1032022,36.73,-81.42,117781.37445009986
2061,1154820,37.01,-76.74,122369.0768719118
2062,1081231,36.81,-79.3,123183.67584552355
2063,1170409,37.45,-76.26,120914.21820978555
2064,1187478,37.37,-75.74,121783.39475474045
2065,1087918,36.69,-79.02,123827.31511236253
2066,1112960,38.09,-78.06,118429.6302102859
2067,1055668,37.37,-80.38,117109.59269272105
2068,1131872,37.17,-77.46,121806.33468865501
2069,1135018,36.57,-77.34,124121.371713627
2070,1123663,36.57,-77.7,124220.34382830925
2071,1124441,38.09,-77.66,118736.95296202344
2072,1060462,36.81,-80.18,120611.36106148692
2073,1173793,37.33,-76.14,120720.52742114132
2074,1013632,36.65,-82.3,120303.55540239043
2075,1108931,38.13,-78.22,120532.41369841437
2076,1176038,36.77,-76.1,121292.22974068094
2077,1040636,37.05,-81.06,116059.21619819722
2078,1016663,36.77,-82.18,118795.79010544758
2079,1118615,38.21,-77.86,119444.4324972102
2080,1065616,36.73,-79.94,121435.22146294257
2081,1017021,36.93,-82.14,117445.99651449762
2082,1086089,37.53,-79.1,122016.7087973255
2083,1078594,37.73,-79.42,121308.69019480546
2084,1139672,36.61,-77.22,123926.66676494939
2085,1158400,36.89,-76.62,122101.28082606693
2086,1122523,36.81,-77.74,122745.53096144396
2087,1056821,36.77,-80.34,120395.81519672359
2088,1038435,36.97,-81.14,118432.86282093612
2089,1087629,37.81,-79.02,118499.82324029923
2090,1046271,36.97,-80.82,119914.23979572809
2091,1143110,38.25,-77.1,117830.67508501826
2092,1152655,36.57,-76.78,123180.19669933389
2093,1087525,38.73,-79.02,114144.65205205602
2094,1151233,37.17,-76.86,121209.20805555591
2095,1132912,37.61,-77.42,119127.41512857367
2096,1093790,37.77,-78.78,120803.65768478024
2097,1183575,37.81,-75.86,120976.03896310022
2098,1121999,39.21,-77.74,115287.43891134021
2099,1065489,37.29,-79.98,119133.1959408752
2100,1121965,37.53,-77.74,120915.87531853972
2101,1041395,37.01,-81.02,117925.5961745177
2102,1123302,39.05,-77.7,114419.89101465528
2103,1123770,39.13,-77.7,114461.96239139664
2104,1091400,38.61,-78.86,116540.97500082171
2105,1154821,37.05,-76.74,121390.61715030606
2106,1060221,37.85,-80.18,115744.6666904367
2107,1080246,36.69,-79.34,124087.88202811706
2108,1106427,37.61,-78.3,120988.5207828993
2109,1129438,38.29,-77.54,117727.29082373451
2110,1126421,38.93,-77.62,115182.0441127103
2111,1077085,37.73,-79.46,121717.58571824234
