,locID,lat,lon,data
3689,1072000,36.93,-79.7,3145185.0
3690,1124492,37.05,-77.66,3127794.0
3691,1111311,37.77,-78.1,3087397.0
3692,1113440,38.25,-78.06,3075565.0
3693,1090395,36.77,-78.9,3172091.0
3694,1114203,38.33,-78.02,3057947.0
3695,1133524,38.21,-77.38,3027437.0
3696,1052045,36.65,-80.54,3081554.0
3697,1093914,38.01,-78.78,3063279.0
3698,1073145,38.53,-79.62,2968761.0
3699,1117286,37.45,-77.9,3134788.0
3700,1072940,37.93,-79.66,3016011.0
3701,1085108,38.61,-79.14,2967493.0
3702,1163429,36.61,-76.46,3079219.0
3703,1041972,37.13,-80.98,2966335.0
3704,1033023,37.13,-81.38,2947865.0
3705,1112372,38.01,-78.1,3077801.0
3706,1100856,36.69,-78.5,3209761.0
3707,1156488,37.37,-76.66,3049356.0
3708,1076311,37.77,-79.5,3107412.0
3709,1069324,37.77,-79.82,2996481.0
3710,1089603,37.97,-78.94,3073843.0
3711,1038747,36.85,-81.14,3054588.0
3712,1119210,38.97,-77.86,2986857.0
3713,1145373,36.81,-77.02,3133011.0
3714,1087492,38.81,-79.02,2935833.0
3715,1153571,37.25,-76.78,3101126.0
3716,1148410,37.29,-76.94,3093702.0
3717,1124931,38.41,-77.66,3037438.0
3718,1105568,38.53,-78.34,2981292.0
3719,1100766,38.69,-78.5,3018571.0
3720,1056704,37.17,-80.34,3069705.0
3721,1145445,37.41,-77.02,3076886.0
3722,1183367,37.29,-75.86,3095822.0
3723,1006684,36.89,-82.66,2946572.0
3724,1168281,37.81,-76.34,3122031.0
3725,1075410,37.49,-79.54,3118704.0
3726,1076355,36.57,-79.5,3190653.0
3727,1130606,38.77,-77.5,2949956.0
3728,1126198,39.25,-77.62,2966660.0
3729,1081090,36.85,-79.3,3172983.0
3730,1173847,37.21,-76.14,3112729.0
3731,1154841,37.65,-76.74,3072030.0
3732,1141103,36.65,-77.14,3183814.0
3733,1086189,38.49,-79.1,2985068.0
3734,1151334,36.77,-76.82,3161853.0
3735,1108165,38.17,-78.22,3084693.0
3736,1116809,37.41,-77.94,3123148.0
3737,1097833,38.93,-78.62,2971321.0
3738,1167223,37.93,-76.34,3092051.0
3739,1098329,38.85,-78.58,2991367.0
3740,1121088,39.09,-77.78,2980235.0
3741,1170412,37.77,-76.26,3066374.0
3742,1166822,36.77,-76.38,3098307.0
3743,1152123,37.29,-76.82,3105539.0
3744,1170418,37.69,-76.26,3091452.0
3745,1102613,39.09,-78.42,2932646.0
3746,1032039,36.65,-81.42,3013221.0
3747,1006760,36.73,-82.66,3040288.0
3748,1196413,37.93,-75.5,3145040.0
3749,1090758,38.17,-78.9,3117073.0
3750,1060279,36.65,-80.18,3114272.0
3751,1067373,36.97,-79.9,3124962.0
3752,1158152,36.81,-76.62,3125990.0
3753,1024244,36.93,-81.82,2959495.0
3754,1018512,37.25,-82.1,2904681.0
3755,1172573,37.57,-76.18,3123430.0
3756,1137806,36.69,-77.26,3159516.0
3757,1078809,37.29,-79.38,3162603.0
3758,1061145,36.57,-80.14,3134734.0
3759,1180650,36.85,-75.94,3068952.0
3760,1205271,38.01,-75.22,3028032.0
3761,1128579,38.49,-77.54,3025040.0
3762,1101587,38.53,-78.46,3020253.0
3763,1109734,38.13,-78.18,3082311.0
3764,1004463,36.77,-82.78,2996273.0
3765,1029868,36.97,-81.54,2986721.0
3766,1094353,38.05,-78.74,3051678.0
3767,1150207,36.65,-76.86,3190327.0
3768,1081465,37.09,-79.26,3155036.0
3769,1120507,37.97,-77.82,3089873.0
3770,1091152,37.85,-78.86,3074628.0
3771,1054491,36.61,-80.42,3063999.0
3772,1030766,37.25,-81.5,2919601.0
3773,1132598,36.69,-77.42,3153149.0
3774,1153946,38.01,-76.74,3093351.0
3775,1155054,37.29,-76.74,3104523.0
3776,1152962,37.97,-76.78,3093719.0
3777,1047157,36.77,-80.78,3087957.0
3778,1191410,37.41,-75.62,3119673.0
3779,1038269,37.01,-81.14,2975786.0
3780,1147299,38.05,-76.98,3065809.0
3781,1018699,36.85,-82.06,3001046.0
3782,1021574,37.13,-81.94,2956438.0
3783,1137654,37.45,-77.26,3123189.0
3784,1094247,37.97,-78.74,3061295.0
3785,1118708,37.21,-77.86,3143537.0
3786,1116435,36.97,-77.94,3147098.0
3787,1103655,38.13,-78.38,3054484.0
3788,1110169,38.33,-78.14,3064264.0
3789,1086121,38.01,-79.1,3142193.0
3790,1031245,37.09,-81.46,2902467.0
3791,1071125,38.09,-79.74,3019539.0
3792,1040132,36.77,-81.06,3043229.0
3793,1086749,36.69,-79.06,3181312.0
3794,1097986,37.21,-78.62,3176560.0
3795,1136562,38.25,-77.3,3025712.0
3796,1021775,36.65,-81.94,3052565.0
3797,1195860,37.73,-75.5,3100321.0
3798,1124817,38.29,-77.66,3051272.0
3799,999822,36.69,-82.98,3023267.0
3800,1016363,37.25,-82.18,2936622.0
3801,1002715,36.73,-82.86,3020231.0
3802,1069118,37.01,-79.82,3136505.0
3803,1088965,36.65,-78.98,3150398.0
3804,1093938,37.97,-78.78,3049283.0
3805,1138560,37.81,-77.22,3085202.0
3806,1119367,36.61,-77.86,3174200.0
3807,1008549,37.01,-82.58,2986208.0
3808,1104297,37.13,-78.38,3167137.0
3809,1077099,38.25,-79.46,3027184.0
3810,988187,36.61,-83.54,2998325.0
3811,1132157,38.01,-77.42,3044002.0
3812,1101018,37.17,-78.5,3174915.0
3813,1117242,37.21,-77.9,3140065.0
3814,1036709,37.05,-81.22,2963739.0
3815,1098067,36.69,-78.62,3164518.0
3816,1187569,37.49,-75.74,3111090.0
3817,1103893,38.09,-78.38,3075173.0
3818,1051160,37.09,-80.58,3068052.0
3819,1087073,38.13,-79.06,3116192.0
3820,1098802,38.21,-78.58,3046513.0
3821,1095588,37.61,-78.7,3120941.0
3822,1132695,38.33,-77.42,3028402.0
3823,1123460,38.61,-77.7,3018435.0
3824,1133708,37.69,-77.38,3075833.0
3825,1117009,37.25,-77.94,3160911.0
3826,1068132,36.73,-79.86,3128860.0
3827,1159398,37.01,-76.58,3067058.0
3828,1080300,36.61,-79.34,3189390.0
3829,1061424,37.45,-80.14,3004207.0
3830,1128257,37.81,-77.58,3094560.0
3831,1074228,38.49,-79.58,2993220.0
3832,1031206,36.85,-81.46,2984377.0
3833,1179961,36.81,-75.98,3094313.0
3834,1066293,37.33,-79.94,3042924.0
3835,1019407,37.05,-82.02,2962715.0
3836,1104380,39.05,-78.38,2941094.0
3837,1107730,36.73,-78.26,3205815.0
3838,1009968,36.69,-82.5,3054696.0
3839,1016400,37.13,-82.18,2957004.0
3840,1023053,37.21,-81.86,2946083.0
3841,1141874,37.81,-77.14,3088610.0
3842,1177642,37.33,-76.06,3121190.0
3843,1088347,37.09,-78.98,3165048.0
3844,1125894,37.09,-77.62,3148124.0
3845,1168188,37.41,-76.34,3109010.0
3846,1129378,38.01,-77.54,3059470.0
3847,1109750,36.69,-78.18,3192546.0
3848,1157669,37.05,-76.66,3077876.0
3849,1174373,36.69,-76.14,3123220.0
3850,1068678,36.77,-79.82,3157514.0
3851,1082045,38.09,-79.26,3115649.0
3852,1126654,38.21,-77.62,3066731.0
3853,1099297,36.97,-78.54,3177767.0
3854,1107858,36.85,-78.26,3169415.0
3855,1094826,37.77,-78.74,3108422.0
3856,1111594,37.97,-78.1,3088976.0
3857,1077035,37.21,-79.46,3156196.0
3858,1104628,36.77,-78.34,3193725.0
3859,1090514,38.29,-78.9,3130905.0
3860,1006893,37.09,-82.66,2962121.0
3861,1086734,36.93,-79.06,3172643.0
3862,1029487,37.21,-81.54,2927435.0
3863,1047491,36.93,-80.74,3059098.0
3864,1119122,38.77,-77.86,3002175.0
3865,1146042,37.93,-77.02,3052070.0
3866,1108268,36.69,-78.22,3213747.0
3867,1083485,37.97,-79.18,3119471.0
3868,1089007,37.49,-78.98,3140873.0
3869,1066819,37.73,-79.9,3002642.0
3870,1110527,37.45,-78.14,3116893.0
3871,1009959,36.73,-82.5,3078735.0
3872,1101075,36.93,-78.5,3153179.0
3873,1105661,39.45,-78.34,2892606.0
3874,1037291,37.05,-81.18,2987703.0
3875,1103625,38.05,-78.38,3090220.0
3876,1119236,39.01,-77.86,2991166.0
3877,1155167,36.77,-76.7,3163266.0
3878,1104253,37.29,-78.38,3115924.0
3879,1071979,36.69,-79.7,3182463.0
3880,1010550,37.05,-82.46,2942136.0
3881,1182563,36.61,-75.9,3089508.0
3882,1022025,37.29,-81.9,2949012.0
3883,1106570,38.53,-78.3,2980263.0
3884,1093555,37.17,-78.78,3184562.0
3885,1152898,36.89,-76.78,3138820.0
3886,1128667,37.45,-77.54,3102664.0
3887,1093687,38.37,-78.78,3089816.0
3888,1178422,36.57,-76.02,3124024.0
3889,1085116,38.53,-79.14,2959084.0
3890,1100765,38.65,-78.5,3013729.0
3891,1102235,38.01,-78.46,3056060.0
3892,1068012,37.41,-79.86,3094836.0
3893,1007273,37.09,-82.62,2955759.0
3894,1110519,38.09,-78.14,3065208.0
3895,1167042,36.89,-76.38,3095172.0
3896,1187117,37.41,-75.78,3110980.0
3897,1132900,37.65,-77.42,3055603.0
3898,1042069,37.01,-80.98,3005863.0
3899,1137090,37.85,-77.3,3074625.0
3900,1100855,36.65,-78.5,3181627.0
3901,1150602,37.65,-76.86,3085866.0
3902,1080351,37.13,-79.34,3162226.0
3903,1125624,37.41,-77.66,3083174.0
3904,1063466,37.37,-80.06,3031332.0
3905,1136273,36.69,-77.3,3147370.0
3906,1141851,38.21,-77.14,3038269.0
3907,1098192,37.05,-78.58,3169140.0
3908,1179019,37.49,-76.02,3119466.0
3909,1014638,37.29,-82.26,2935905.0
3910,1031517,36.89,-81.46,2997095.0
3911,1133714,37.53,-77.38,3081074.0
